거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
2024.3.27,KODEX KOFR금리액티브(합성),6,0,"637,470",26,13,"-533,837",,
Smart+거래소주식매수,,"106,245",0,"103,659",0,0,0,스마트폰,
2024.3.27,KBSTAR 미국채30년엔화노출(합성 H),90,0,"819,950",34,557,"286,079",,
Smart+거래소주식매도,,"9,110",0,"286,079",0,0,0,스마트폰,
2024.3.28,KBSTAR 미국채30년엔화노출(합성 H),61,0,"548,880",23,618,"-262,824",,
Smart+거래소주식매수,,"8,998",0,"286,079",0,0,0,스마트폰,
2024.3.28,KODEX KOFR금리액티브(합성),13,0,"1,381,185",58,0,"1,118,303",,
Smart+거래소주식매도,,"106,245",0,"1,118,303",0,0,0,스마트폰,
2024.3.29,KODEX KOFR금리액티브(합성),15,0,"1,593,825",67,15,"-475,589",,
Smart+거래소주식매수,,"106,255",0,"1,118,303",0,0,0,스마트폰,
2024.3.29,KBSTAR 미국채30년엔화노출(합성 H),60,0,"543,800",22,558,"68,189",,
Smart+거래소주식매도,,"9,063",0,"68,189",0,0,0,스마트폰,
2024.4.1,TIGER 미국달러단기채권액티브,20,0,"237,200",9,20,"-169,020",,
Smart+거래소주식매수,,"11,860",0,"68,189",0,0,0,스마트폰,
2024.4.1,KODEX KOFR금리액티브(합성),10,0,"1,062,650",44,25,"-1,231,714",,
Smart+거래소주식매수,,"106,265",0,0,0,0,0,스마트폰,
2024.4.1,KBSTAR 미국채30년엔화노출(합성 H),140,0,"1,280,700",53,418,"48,933",,
Smart+거래소주식매도,,"9,147",0,"48,933",0,0,0,스마트폰,
2024.4.2,TIGER 미국달러단기채권액티브,30,0,"356,700",15,50,"-307,782",,
Smart+거래소주식매수,,"11,890",0,"48,933",0,0,0,스마트폰,
2024.4.2,KODEX KOFR금리액티브(합성),15,0,"1,594,500",67,40,"-1,902,349",,
Smart+거래소주식매수,,"106,300",0,0,0,0,0,스마트폰,
2024.4.2,KBSTAR 미국채30년엔화노출(합성 H),370,0,"3,403,950",143,48,"1,501,458",,
Smart+거래소주식매도,,"9,199",0,"1,501,458",0,0,0,스마트폰,
2024.4.2,한국투자 ACE 미국배당다우존스증권상장지수투자신탁(주식),0,0,176,0,0,"1,501,634",,
ETF분배금입금,,0,0,176,0,0,0,,
2024.4.3,TIGER Fn반도체TOP10,10,0,"135,750",5,24,"1,365,879",,
Smart+거래소주식매수,,"13,575",0,"135,755",0,0,0,스마트폰,
2024.4.3,KODEX KOFR금리액티브(합성),12,0,"1,275,780",53,52,"90,046",,
Smart+거래소주식매수,,"106,315",0,"1,275,833",0,0,0,스마트폰,
2024.4.4,TIGER 미국달러단기채권액티브,10,0,"119,100",5,60,"-29,059",,
Smart+거래소주식매수,,"11,910",0,"90,046",0,0,0,스마트폰,
2024.4.4,TIGER Fn반도체TOP10,20,0,"272,050",11,44,"-301,120",,
Smart+거래소주식매수,,"13,602",0,0,0,0,0,스마트폰,
2024.4.4,ACE 미국배당다우존스,10,0,"117,050",4,14,"-418,174",,
Smart+거래소주식매수,,"11,705",0,0,0,0,0,스마트폰,
2024.4.4,KODEX KOFR금리액티브(합성),8,0,"850,520",35,44,"432,311",,
Smart+거래소주식매도,,"106,315",0,"432,311",0,0,0,스마트폰,
